single_choice	The symbol in the center of the Indian flag represents the law of Dharma (key concept in the Indian religions), what is the symbol?	Wheel;Key;Book;Table	1
single_choice	For which organization in India was Mahatma Gandhi the leader?	Buddhism;Coca Cola;The independence movement;UNICEF	3
single_choice	What is the name of the Hindi Film Industry?	Hollywood;Bollywood;Trolliwood;Hindiwood	2
single_choice	What is the name of the sacred river that flows through India and Bangladesh?	Krishna;Ganga;Indus;Brahmaputra	2
single_choice	Which animal is a symbol of wealth, strength and abundance in the Indian religion Hinduism?	Pig;Cat;Dog;Cow	4
single_choice	What is the capital city of India?	Mumbai;New Delhi;Bombay;Bangalore	2
single_choice	Which is the most popular sport in India?	Soccer;Cricket;Chess;Field Hockey	2
single_choice	India is one of the most populated countries in the world, what position are they currently at?	3rd;4th;5;th;2nd	4
single_choice	Which European country did India once belong to?	United Kingdom;Switzerland;Germany;Spain	1
numeric	How long is Nile river which is the longest in the world?(km)	6670	
numeric	How high is Qomolangma which is the highest in the world?(m)	8844	
numeric	How many countries and regions are there in the world?	230	
numeric	How many countries and regions are there in Europe?	45	
numeric	How many countries and regions are there in Asia?	49	
numeric	How many countries and regions are there in North America?	28	
numeric	How many countries and regions are there in South America?	13	
numeric	How many countries and regions are there in Africa?	56	
numeric	How many countries and regions are there in Oceania?	30	
