single_choice	What is the capital city of Brazil?	Rio de Janeiro;Brasilia;Sao Paulo;Salvador	2
single_choice	What is the name of the longest river flowing through Brazil?	Amazon River;Mississippi River;Reptile River;Snake River	1
single_choice	What happens in Rio every year since 1723?	Swim contest;Soccer tournament;Carnival;Food competition	3
single_choice	Which sports is the most popular sport in Brazil?	Football;Basketball;Cricket;Handball	1
single_choice	What is the name of the movie about Blu, a male Spix's macaw?	Ice Age;Frozen;Inside out;Rio	4
single_choice	What is the official language of Brazil?	Spanish;French;Portuguese;Swedish	3
single_choice	What is the name of the slum area in Rio?	Fajita;Tacos;Favela;Tapas	3
single_choice	What is the main religion in Brazil (80%)?	Buddhism;Christianity;Hinduism;Shinto	2
numeric	How long is Nile river which is the longest in the world?(km)	6670	
numeric	How high is Qomolangma which is the highest in the world?(m)	8844	
numeric	How many countries and regions are there in the world?	230	
numeric	How many countries and regions are there in Europe?	45	
numeric	How many countries and regions are there in Asia?	49	
numeric	How many countries and regions are there in North America?	28	
numeric	How many countries and regions are there in South America?	13	
numeric	How many countries and regions are there in Africa?	56	
numeric	How many countries and regions are there in Oceania?	30	
